,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_learning_rate,param_min_child_weight,param_min_split_gain,param_num_leaves,param_reg_lambda,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.5439454555511475,0.01995368003845215,0.6384402769145351,0.6386860555865118,0.9,0.1,5,2,31,3000,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'min_child_weight': 5, 'min_split_gain': 2, 'num_leaves': 31, 'reg_lambda': 3000, 'subsample': 0.9}",2,0.7278424840613692,0.7286408470062976,0.5055172912348922,0.5044089622666642,0.5036356261546805,0.5034365792388552,0.721642959852561,0.7299964439357357,0.7335641921574458,0.7269474454850061,0.13846745424644566,0.006646438005049721,0.1093659898140258,0.11003843247649402
1,0.7072803020477295,0.025971508026123045,0.7400290191145814,0.7550973755775703,0.9,0.1,5,2,31,300,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'min_child_weight': 5, 'min_split_gain': 2, 'num_leaves': 31, 'reg_lambda': 300, 'subsample': 0.9}",1,0.7435232395655434,0.7548484314849297,0.7319506983777654,0.7564689975220441,0.7382183209679851,0.7550145684688848,0.7371433851575316,0.7563239098187167,0.7493106338113841,0.7528309705932754,0.08966751725582327,0.005937151526441149,0.005919588161615153,0.001310813086188322
